rank	word	count	freq	log_rank	log_freq
1	the	85301	0.06231194	0.0	-1.2054
2	and	61649	0.04503428	0.301	-1.3465
3	of	39263	0.02868142	0.4771	-1.5424
4	is	29110	0.02126471	0.6021	-1.6723
5	to	28521	0.02083444	0.699	-1.6812
6	in	23810	0.01739308	0.7782	-1.7596
7	that	21800	0.01592479	0.8451	-1.7979
8	they	20595	0.01504454	0.9031	-1.8226
9	this	17655	0.01289689	0.9542	-1.8895
10	it	13981	0.01021305	1.0	-1.9908
11	with	12448	0.0090932	1.0414	-2.0413
12	for	12241	0.00894199	1.0792	-2.0486
13	are	11025	0.00805371	1.1139	-2.094
14	when	10738	0.00784405	1.1461	-2.1055
15	you	10449	0.00763294	1.1761	-2.1173
16	what	10411	0.00760518	1.2041	-2.1189
17	one	10299	0.00752337	1.2304	-2.1236
18	not	10125	0.00739626	1.2553	-2.131
19	or	10008	0.00731079	1.2788	-2.136
20	who	8472	0.00618875	1.301	-2.2084
21	buddha	8453	0.00617487	1.3222	-2.2094
22	by	8314	0.00607333	1.3424	-2.2166
23	as	7483	0.00546629	1.3617	-2.2623
24	there	7287	0.00532312	1.3802	-2.2738
25	up	6679	0.00487898	1.3979	-2.3117
26	he	6622	0.00483734	1.415	-2.3154
27	be	6282	0.00458897	1.4314	-2.3383
28	has	6263	0.00457509	1.4472	-2.3396
29	mendicant	6252	0.00456705	1.4624	-2.3404
30	these	6155	0.0044962	1.4771	-2.3472
31	their	6012	0.00439174	1.4914	-2.3574
32	mind	5841	0.00426682	1.5051	-2.3699
33	on	5734	0.00418866	1.5185	-2.3779
34	from	5696	0.0041609	1.5315	-2.3808
35	have	5195	0.00379492	1.5441	-2.4208
36	mendicants	5190	0.00379127	1.5563	-2.4212
37	said	5115	0.00373648	1.5682	-2.4275
38	so	5111	0.00373356	1.5798	-2.4279
39	then	5090	0.00371822	1.5911	-2.4297
40	was	4884	0.00356774	1.6021	-2.4476
41	an	4843	0.00353779	1.6128	-2.4513
42	at	4803	0.00350857	1.6232	-2.4549
43	but	4757	0.00347496	1.6335	-2.459
44	how	4446	0.00324778	1.6435	-2.4884
45	right	4128	0.00301548	1.6532	-2.5206
46	them	4074	0.00297604	1.6628	-2.5264
47	should	3573	0.00261006	1.6721	-2.5833
48	no	3508	0.00256258	1.6812	-2.5913
49	if	3451	0.00252094	1.6902	-2.5984
50	do	3420	0.00249829	1.699	-2.6024
51	his	3382	0.00247053	1.7076	-2.6072
52	will	3322	0.0024267	1.716	-2.615
53	my	3320	0.00242524	1.7243	-2.6152
54	time	3248	0.00237265	1.7324	-2.6248
55	teaching	3238	0.00236534	1.7404	-2.6261
56	those	3209	0.00234416	1.7482	-2.63
57	like	3203	0.00233978	1.7559	-2.6308
58	sir	3200	0.00233758	1.7634	-2.6312
59	good	3195	0.00233393	1.7709	-2.6319
60	body	3179	0.00232224	1.7782	-2.6341
61	suffering	3165	0.00231202	1.7853	-2.636
62	life	3102	0.002266	1.7924	-2.6447
63	things	2965	0.00216592	1.7993	-2.6644
64	way	2953	0.00215715	1.8062	-2.6661
65	four	2946	0.00215204	1.8129	-2.6672
66	five	2879	0.00210309	1.8195	-2.6771
67	all	2841	0.00207534	1.8261	-2.6829
68	world	2642	0.00192997	1.8325	-2.7145
69	him	2633	0.00192339	1.8388	-2.7159
70	such	2610	0.00190659	1.8451	-2.7197
71	qualities	2595	0.00189563	1.8513	-2.7222
72	noble	2504	0.00182916	1.8573	-2.7377
73	me	2503	0.00182843	1.8633	-2.7379
74	say	2405	0.00175684	1.8692	-2.7553
75	realized	2343	0.00171155	1.8751	-2.7666
76	consciousness	2303	0.00168233	1.8808	-2.7741
77	after	2284	0.00166845	1.8865	-2.7777
78	see	2280	0.00166553	1.8921	-2.7784
79	three	2257	0.00164873	1.8976	-2.7829
80	well	2217	0.00161951	1.9031	-2.7906
81	would	2183	0.00159467	1.9085	-2.7973
82	why	2157	0.00157568	1.9138	-2.8025
83	person	2113	0.00154354	1.9191	-2.8115
84	death	2083	0.00152162	1.9243	-2.8177
85	gods	2074	0.00151505	1.9294	-2.8196
86	perception	2021	0.00147633	1.9345	-2.8308
87	were	2015	0.00147195	1.9395	-2.8321
88	practice	2009	0.00146756	1.9445	-2.8334
89	your	1975	0.00144273	1.9494	-2.8408
90	out	1944	0.00142008	1.9542	-2.8477
91	understand	1939	0.00141643	1.959	-2.8488
92	had	1862	0.00136018	1.9638	-2.8664
93	which	1857	0.00135653	1.9685	-2.8676
94	bad	1853	0.00135361	1.9731	-2.8685
95	immersion	1849	0.00135069	1.9777	-2.8694
96	down	1847	0.00134922	1.9823	-2.8699
97	can	1800	0.00131489	1.9868	-2.8811
98	same	1797	0.0013127	1.9912	-2.8818
99	venerable	1795	0.00131124	1.9956	-2.8823
100	away	1795	0.00131124	2.0	-2.8823
101	reborn	1790	0.00130759	2.0043	-2.8835
102	someone	1782	0.00130174	2.0086	-2.8855
103	worthy	1771	0.00129371	2.0128	-2.8882
104	view	1770	0.00129298	2.017	-2.8884
105	feeling	1767	0.00129078	2.0212	-2.8891
106	wisdom	1764	0.00128859	2.0253	-2.8899
107	go	1763	0.00128786	2.0294	-2.8901
108	cessation	1752	0.00127983	2.0334	-2.8928
109	went	1748	0.00127691	2.0374	-2.8938
110	give	1733	0.00126595	2.0414	-2.8976
111	mindfulness	1713	0.00125134	2.0453	-2.9026
112	know	1705	0.00124549	2.0492	-2.9047
113	form	1701	0.00124257	2.0531	-2.9057
114	self	1701	0.00124257	2.0569	-2.9057
115	called	1693	0.00123673	2.0607	-2.9077
116	having	1676	0.00122431	2.0645	-2.9121
117	does	1655	0.00120897	2.0682	-2.9176
118	its	1620	0.0011834	2.0719	-2.9269
119	place	1584	0.0011571	2.0755	-2.9366
120	brahmins	1581	0.00115491	2.0792	-2.9375
121	because	1571	0.00114761	2.0828	-2.9402
122	individual	1542	0.00112642	2.0864	-2.9483
123	we	1535	0.00112131	2.0899	-2.9503
124	wrong	1520	0.00111035	2.0934	-2.9545
125	some	1514	0.00110597	2.0969	-2.9563
126	without	1509	0.00110232	2.1004	-2.9577
127	knowledge	1501	0.00109647	2.1038	-2.96
128	beings	1500	0.00109574	2.1072	-2.9603
129	been	1499	0.00109501	2.1106	-2.9606
130	gotama	1476	0.00107821	2.1139	-2.9673
131	spiritual	1475	0.00107748	2.1173	-2.9676
132	king	1453	0.00106141	2.1206	-2.9741
133	brahmin	1451	0.00105995	2.1239	-2.9747
134	heard	1448	0.00105776	2.1271	-2.9756
135	come	1446	0.0010563	2.1303	-2.9762
136	path	1434	0.00104753	2.1335	-2.9798
137	many	1407	0.00102781	2.1367	-2.9881
138	kinds	1400	0.00102269	2.1399	-2.9903
139	ascetic	1394	0.00101831	2.143	-2.9921
140	now	1381	0.00100881	2.1461	-2.9962
141	sensual	1376	0.00100516	2.1492	-2.9978
142	heart	1363	0.00099566	2.1523	-3.0019
143	think	1363	0.00099566	2.1553	-3.0019
144	nor	1359	0.00099274	2.1584	-3.0032
145	about	1345	0.00098252	2.1614	-3.0077
146	very	1342	0.00098032	2.1644	-3.0086
147	may	1336	0.00097594	2.1673	-3.0106
148	live	1297	0.00094745	2.1703	-3.0234
149	freedom	1293	0.00094453	2.1732	-3.0248
150	being	1293	0.00094453	2.1761	-3.0248
151	side	1292	0.0009438	2.179	-3.0251
152	too	1286	0.00093942	2.1818	-3.0271
153	people	1279	0.0009343	2.1847	-3.0295
154	speech	1273	0.00092992	2.1875	-3.0316
155	other	1272	0.00092919	2.1903	-3.0319
156	two	1271	0.00092846	2.1931	-3.0322
157	own	1262	0.00092188	2.1959	-3.0353
158	others	1251	0.00091385	2.1987	-3.0391
159	given	1228	0.00089705	2.2014	-3.0472
160	ānanda	1196	0.00087367	2.2041	-3.0587
161	sāvatthī	1194	0.00087221	2.2068	-3.0594
162	forth	1191	0.00087002	2.2095	-3.0605
163	happiness	1190	0.00086929	2.2122	-3.0608
164	both	1183	0.00086418	2.2148	-3.0634
165	long	1176	0.00085906	2.2175	-3.066
166	true	1176	0.00085906	2.2201	-3.066
167	defilements	1175	0.00085833	2.2227	-3.0663
168	even	1173	0.00085687	2.2253	-3.0671
169	great	1164	0.0008503	2.2279	-3.0704
170	awakening	1159	0.00084664	2.2304	-3.0723
171	themselves	1157	0.00084518	2.233	-3.073
172	get	1152	0.00084153	2.2355	-3.0749
173	while	1146	0.00083715	2.238	-3.0772
174	take	1142	0.00083423	2.2405	-3.0787
175	ascetics	1138	0.0008313	2.243	-3.0802
176	living	1133	0.00082765	2.2455	-3.0822
177	desire	1130	0.00082546	2.248	-3.0833
178	greed	1126	0.00082254	2.2504	-3.0848
179	deeds	1117	0.00081596	2.2529	-3.0883
180	training	1113	0.00081304	2.2553	-3.0899
181	saṅgha	1109	0.00081012	2.2577	-3.0915
182	unskillful	1106	0.00080793	2.2601	-3.0926
183	grasping	1102	0.00080501	2.2625	-3.0942
184	make	1101	0.00080427	2.2648	-3.0946
185	skillful	1096	0.00080062	2.2672	-3.0966
186	pleasure	1096	0.00080062	2.2695	-3.0966
187	pain	1094	0.00079916	2.2718	-3.0974
188	seven	1088	0.00079478	2.2742	-3.0998
189	where	1086	0.00079332	2.2765	-3.1006
190	sat	1076	0.00078601	2.2788	-3.1046
191	rebirth	1075	0.00078528	2.281	-3.105
192	impermanent	1073	0.00078382	2.2833	-3.1058
193	full	1067	0.00077944	2.2856	-3.1082
194	any	1066	0.00077871	2.2878	-3.1086
195	giving	1065	0.00077798	2.29	-3.109
196	disciple	1065	0.00077798	2.2923	-3.109
197	another	1058	0.00077286	2.2945	-3.1119
198	developed	1058	0.00077286	2.2967	-3.1119
199	sentient	1057	0.00077213	2.2989	-3.1123
200	staying	1051	0.00076775	2.301	-3.1148
